Date,Price,Open,High,Low,Change
01/04/2021,3700.65,3764.61,3769.99,3662.71,-0.0148
01/05/2021,3726.86,3698.02,3737.83,3695.07,0.0071
01/06/2021,3748.14,3712.2,3783.04,3705.34,0.0057
01/07/2021,3803.79,3764.71,3811.55,3764.71,0.0148
01/08/2021,3824.68,3815.05,3826.69,3783.6,0.0055
01/11/2021,3799.61,3803.14,3817.86,3789.02,-0.0066
01/12/2021,3801.19,3801.62,3810.78,3776.51,0.0004
01/13/2021,3809.84,3802.23,3820.96,3791.5,0.0023
01/14/2021,3795.54,3814.98,3823.6,3792.86,-0.0038
01/15/2021,3768.25,3788.73,3788.73,3749.62,-0.0072
01/19/2021,3798.91,3781.88,3804.53,3780.37,0.0081
01/20/2021,3851.85,3816.22,3859.75,3816.22,0.0139
01/21/2021,3853.07,3857.46,3861.45,3845.05,0.0003
01/22/2021,3841.47,3844.24,3852.31,3830.41,-0.003
01/25/2021,3855.36,3851.68,3859.23,3797.16,0.0036
01/26/2021,3849.62,3862.96,3870.9,3847.78,-0.0015
01/27/2021,3750.77,3836.83,3836.83,3732.48,-0.0257
01/28/2021,3787.38,3755.75,3830.5,3755.75,0.0098
01/29/2021,3714.24,3778.05,3778.05,3694.12,-0.0193
02/01/2021,3773.86,3731.17,3784.32,3725.62,0.0161
02/02/2021,3826.31,3791.84,3843.09,3791.84,0.0139
02/03/2021,3830.17,3840.27,3847.51,3816.68,0.001
02/04/2021,3871.74,3836.66,3872.42,3836.66,0.0109
02/05/2021,3886.83,3878.3,3894.56,3874.93,0.0039
02/08/2021,3915.59,3892.59,3915.77,3892.59,0.0074
02/09/2021,3911.23,3910.49,3918.35,3902.64,-0.0011
02/10/2021,3909.88,3920.78,3931.5,3884.94,-0.0003
02/11/2021,3916.38,3916.4,3925.99,3890.39,0.0017
02/12/2021,3934.83,3911.65,3937.23,3905.78,0.0047
02/16/2021,3932.59,3939.61,3950.43,3923.85,-0.0006
02/17/2021,3931.33,3918.5,3933.61,3900.43,-0.0003
02/18/2021,3913.97,3915.86,3921.98,3885.03,-0.0044
02/19/2021,3906.71,3921.16,3930.41,3903.07,-0.0019
02/22/2021,3876.5,3885.55,3902.92,3874.71,-0.0077
02/23/2021,3881.37,3857.07,3895.98,3805.59,0.0013
02/24/2021,3925.43,3873.71,3928.65,3859.6,0.0114
02/25/2021,3829.34,3915.8,3925.02,3814.04,-0.0245
02/26/2021,3811.15,3839.66,3861.08,3789.54,-0.0048
03/01/2021,3901.82,3842.51,3914.5,3842.51,0.0238
03/02/2021,3870.29,3903.64,3906.41,3868.57,-0.0081
03/03/2021,3819.72,3863.99,3874.47,3818.86,-0.0131
03/04/2021,3768.47,3818.53,3843.67,3723.34,-0.0134
03/05/2021,3841.94,3793.58,3851.69,3730.19,0.0195
03/08/2021,3821.35,3844.39,3881.06,3819.25,-0.0054
03/09/2021,3875.44,3851.93,3903.76,3851.93,0.0142
03/10/2021,3898.81,3891.99,3917.35,3885.73,0.006
03/11/2021,3939.34,3915.54,3960.27,3915.54,0.0104
03/12/2021,3943.34,3924.52,3944.99,3915.21,0.001
03/15/2021,3968.94,3942.96,3970.08,3923.54,0.0065
03/16/2021,3962.71,3973.59,3981.04,3953.44,-0.0016
03/17/2021,3974.12,3949.57,3983.87,3935.74,0.0029
03/18/2021,3915.46,3953.5,3969.62,3910.86,-0.0148
03/19/2021,3913.1,3913.14,3930.12,3886.75,-0.0006
03/22/2021,3940.59,3916.48,3955.31,3914.16,0.007
03/23/2021,3910.52,3937.6,3949.13,3901.57,-0.0076
03/24/2021,3889.14,3919.93,3942.08,3889.07,-0.0055
03/25/2021,3909.52,3879.34,3919.54,3853.5,0.0052
03/26/2021,3974.54,3917.12,3978.19,3917.12,0.0166
03/29/2021,3971.09,3969.31,3981.83,3943.25,-0.0009
03/30/2021,3958.55,3963.34,3968.01,3944.35,-0.0032
03/31/2021,3972.89,3967.25,3994.41,3966.98,0.0036
04/01/2021,4019.87,3992.78,4020.63,3992.78,0.0118
04/05/2021,4077.91,4034.44,4083.42,4034.44,0.0144
04/06/2021,4073.94,4075.57,4086.23,4068.14,-0.001
04/07/2021,4079.95,4074.29,4083.13,4068.31,0.0015
04/08/2021,4097.17,4089.95,4098.19,4082.54,0.0042
04/09/2021,4128.8,4096.11,4129.48,4095.51,0.0077
04/12/2021,4127.99,4124.71,4131.76,4114.82,-0.0002
04/13/2021,4141.59,4130.1,4148,4124.43,0.0033
04/14/2021,4124.66,4141.58,4151.69,4120.87,-0.0041
04/15/2021,4170.42,4139.76,4173.49,4139.76,0.0111
04/16/2021,4185.47,4174.14,4191.31,4170.75,0.0036
04/19/2021,4163.26,4179.8,4180.81,4150.47,-0.0053
04/20/2021,4134.94,4159.18,4159.18,4118.38,-0.0068
04/21/2021,4173.42,4128.42,4175.02,4126.35,0.0093
04/22/2021,4134.98,4170.46,4179.57,4123.69,-0.0092
04/23/2021,4180.17,4138.78,4194.17,4138.78,0.0109
04/26/2021,4187.62,4185.03,4194.19,4182.36,0.0018
04/27/2021,4186.72,4188.25,4193.35,4176.22,-0.0002
04/28/2021,4183.18,4185.14,4201.53,4181.78,-0.0008
04/29/2021,4211.47,4206.14,4218.78,4176.81,0.0068
04/30/2021,4181.17,4198.1,4198.1,4174.85,-0.0072
05/03/2021,4192.66,4191.98,4209.39,4188.03,0.0027
05/04/2021,4164.66,4179.04,4179.04,4128.59,-0.0067
05/05/2021,4167.59,4177.06,4187.72,4160.94,0.0007
05/06/2021,4201.62,4169.14,4202.7,4147.33,0.0082
05/07/2021,4232.6,4210.34,4238.04,4201.64,0.0074
05/10/2021,4188.43,4228.29,4236.39,4188.13,-0.0104
05/11/2021,4152.1,4150.34,4162.04,4111.53,-0.0087
05/12/2021,4063.04,4130.55,4134.73,4056.88,-0.0214
05/13/2021,4112.5,4074.99,4131.58,4074.99,0.0122
05/14/2021,4173.85,4129.58,4183.13,4129.58,0.0149
05/17/2021,4163.29,4169.92,4171.92,4142.69,-0.0025
05/18/2021,4127.83,4165.94,4169.15,4125.99,-0.0085
05/19/2021,4115.68,4098.45,4116.93,4061.41,-0.0029
05/20/2021,4159.12,4121.97,4172.8,4121.97,0.0106
05/21/2021,4155.86,4168.61,4188.72,4151.72,-0.0008
05/24/2021,4197.05,4170.16,4209.52,4170.16,0.0099
05/25/2021,4188.13,4205.94,4213.42,4182.52,-0.0021
05/26/2021,4195.99,4191.59,4202.61,4184.11,0.0019
05/27/2021,4200.88,4201.94,4213.38,4197.78,0.0012
05/28/2021,4204.11,4210.77,4218.36,4203.57,0.0008
06/01/2021,4202.04,4216.52,4234.12,4197.59,-0.0005
06/02/2021,4208.12,4206.82,4217.37,4198.27,0.0014
06/03/2021,4192.85,4191.43,4204.39,4167.93,-0.0036
06/04/2021,4229.89,4206.05,4233.45,4206.05,0.0088
06/07/2021,4226.52,4229.34,4232.34,4215.66,-0.0008
06/08/2021,4227.26,4233.81,4236.74,4208.41,0.0002
06/09/2021,4219.55,4232.99,4237.09,4218.74,-0.0018
06/10/2021,4239.18,4228.56,4249.74,4220.34,0.0047
06/11/2021,4247.44,4242.9,4248.38,4232.25,0.0019
06/14/2021,4255.15,4248.31,4255.59,4234.07,0.0018
06/15/2021,4246.59,4255.28,4257.16,4238.35,-0.002
06/16/2021,4223.7,4248.87,4251.89,4202.45,-0.0054
06/17/2021,4221.86,4220.37,4232.29,4196.05,-0.0004
06/18/2021,4166.45,4204.78,4204.78,4164.4,-0.0131
06/21/2021,4224.79,4173.4,4226.24,4173.4,0.014
06/22/2021,4246.44,4224.61,4255.84,4217.27,0.0051
06/23/2021,4241.84,4249.27,4256.6,4241.43,-0.0011
06/24/2021,4266.49,4256.97,4271.28,4256.97,0.0058
06/25/2021,4280.7,4274.45,4286.12,4271.16,0.0033
06/28/2021,4290.61,4284.9,4292.14,4274.67,0.0023
06/29/2021,4291.8,4293.21,4300.52,4287.04,0.0003
06/30/2021,4297.5,4290.65,4302.43,4287.96,0.0013
07/01/2021,4319.94,4300.73,4320.66,4300.73,0.0052
07/02/2021,4352.34,4326.6,4355.43,4326.6,0.0075
07/06/2021,4343.54,4356.46,4356.46,4314.37,-0.002
07/07/2021,4358.13,4351.01,4361.88,4329.79,0.0034
07/08/2021,4320.82,4321.07,4330.88,4289.37,-0.0086
07/09/2021,4369.55,4329.38,4371.6,4329.38,0.0113
07/12/2021,4384.63,4372.41,4386.68,4364.03,0.0035
07/13/2021,4369.21,4381.07,4392.37,4366.92,-0.0035
07/14/2021,4374.3,4380.11,4393.68,4362.36,0.0012
07/15/2021,4360.03,4369.02,4369.02,4340.7,-0.0033
07/16/2021,4327.16,4367.43,4375.09,4322.53,-0.0075
07/19/2021,4258.63,4296.4,4296.4,4233.13,-0.0158
07/20/2021,4323.21,4265.11,4336.84,4262.05,0.0152
07/21/2021,4358.69,4331.13,4359.7,4331.13,0.0082
07/22/2021,4367.48,4361.27,4369.31,4350.06,0.002
07/23/2021,4411.8,4381.2,4415.18,4381.2,0.0101
07/26/2021,4422.23,4409.58,4422.73,4405.45,0.0024
07/27/2021,4401.46,4416.38,4416.38,4372.51,-0.0047
07/28/2021,4400.65,4402.95,4415.47,4387.01,-0.0002
07/29/2021,4419.15,4403.59,4429.97,4403.59,0.0042
07/30/2021,4395.26,4395.12,4412.25,4389.65,-0.0054
08/02/2021,4387.11,4406.86,4422.18,4384.81,-0.0019
08/03/2021,4423.15,4392.74,4423.79,4373,0.0082
08/04/2021,4402.68,4415.95,4416.17,4400.23,-0.0046
08/05/2021,4429.1,4408.86,4429.76,4408.86,0.006
08/06/2021,4436.52,4429.07,4440.82,4429.07,0.0017
