Date	Close	Open	High	Low	Volume	Change
2021-12-31	"1,828.60"	"1,817.00"	"1,831.40"	"1,815.40"	106.60K	0.80%
2021-12-30	"1,814.10"	"1,805.60"	"1,818.10"	"1,796.20"	113.43K	0.46%
2021-12-29	"1,805.80"	"1,806.60"	"1,808.00"	"1,789.10"	138.69K	-0.28%
2021-12-28	"1,810.90"	"1,812.10"	"1,821.60"	"1,805.50"	100.54K	0.12%
2021-12-27	"1,808.80"	"1,810.20"	"1,814.60"	"1,803.60"	84.23K	-0.16%
2021-12-23	"1,811.70"	"1,805.60"	"1,812.00"	"1,799.00"	104.84K	0.53%
2021-12-22	"1,802.20"	"1,789.40"	"1,806.30"	"1,785.80"	110.41K	0.75%
2021-12-21	"1,788.70"	"1,791.40"	"1,801.70"	"1,785.00"	134.15K	-0.33%
2021-12-20	"1,794.60"	"1,800.20"	"1,804.60"	"1,789.00"	105.39K	-0.57%
2021-12-17	"1,804.90"	"1,801.50"	"1,815.70"	"1,796.50"	156.61K	0.37%
2021-12-16	"1,798.20"	"1,777.90"	"1,800.70"	"1,775.70"	167.78K	1.91%
2021-12-15	"1,764.50"	"1,771.90"	"1,781.30"	"1,753.00"	161.10K	-0.44%
2021-12-14	"1,772.30"	"1,787.60"	"1,789.80"	"1,766.10"	153.25K	-0.89%
2021-12-13	"1,788.30"	"1,784.20"	"1,792.80"	"1,782.20"	106.06K	0.20%
2021-12-10	"1,784.80"	"1,776.30"	"1,791.00"	"1,770.40"	142.00K	0.46%
2021-12-09	"1,776.70"	"1,784.30"	"1,788.40"	"1,773.30"	123.97K	-0.49%
2021-12-08	"1,785.50"	"1,785.10"	"1,794.30"	"1,780.10"	109.69K	0.04%
2021-12-07	"1,784.70"	"1,779.50"	"1,789.30"	"1,772.40"	129.89K	0.29%
2021-12-06	"1,779.50"	"1,787.70"	"1,789.00"	"1,776.40"	104.48K	-0.25%
2021-12-03	"1,783.90"	"1,769.40"	"1,788.00"	"1,766.00"	175.18K	1.20%
2021-12-02	"1,762.70"	"1,783.80"	"1,785.20"	"1,762.20"	172.72K	-1.21%
2021-12-01	"1,784.30"	"1,777.40"	"1,795.70"	"1,773.70"	180.34K	0.44%
2021-11-30	"1,776.50"	"1,786.90"	"1,811.40"	"1,771.20"	242.86K	-0.49%
2021-11-29	"1,785.20"	"1,795.20"	"1,801.50"	"1,782.00"	151.37K	-0.16%
2021-11-25	"1,788.10"	"1,792.30"	"1,819.30"	"1,781.60"	180.64K	0.21%
2021-11-24	"1,784.30"	"1,789.80"	"1,796.20"	"1,777.40"	203.24K	0.03%
2021-11-23	"1,783.80"	"1,807.10"	"1,812.50"	"1,781.70"	311.35K	-1.25%
2021-11-22	"1,806.30"	"1,848.30"	"1,850.40"	"1,802.40"	352.86K	-2.45%
2021-11-19	"1,851.60"	"1,860.80"	"1,868.10"	"1,844.20"	234.08K	-0.53%
2021-11-18	"1,861.40"	"1,869.50"	"1,873.30"	"1,856.60"	186.06K	-0.47%
