Date,Close,Open,High,Low,Volume,Change
2021-01-04,1946.6,1908.2,1948.7,1906.1,273370,0.0272
2021-01-05,1954.4,1946,1957,1938.4,201950,0.004
2021-01-06,1908.6,1952.8,1962.5,1902.6,366610,-0.0234
2021-01-07,1913.6,1921.5,1929.6,1907.5,199980,0.0026
2021-01-08,1835.4,1915.2,1918.4,1827.8,443510,-0.0409
2021-01-11,1850.8,1849.4,1856,1817.1,268360,0.0084
2021-01-12,1844.2,1845.4,1864,1835.8,240660,-0.0036
2021-01-13,1854.9,1855,1863,1841.6,225990,0.0058
2021-01-14,1851.4,1845.6,1857.6,1826.6,257660,-0.0019
2021-01-15,1829.9,1847.3,1856.6,1822.1,231110,-0.0116
2021-01-18,1840.2,1828.8,1845,1800.8,331590,0.0056
2021-01-20,1866.5,1839.9,1872,1831.1,274400,0.0143
2021-01-21,1865.9,1871,1874.6,1857.5,196940,-0.0003
2021-01-22,1856.2,1870.1,1870.8,1836.3,249720,-0.0052
2021-01-25,1855.2,1855.3,1867.4,1846.2,211980,-0.0005
2021-01-26,1850.9,1854.9,1860.8,1847.2,170260,-0.0023
2021-01-27,1844.9,1849.7,1851.5,1828.4,195540,-0.0032
2021-01-28,1841.2,1847.2,1867,1835.6,277590,-0.002
2021-01-29,1850.3,1845.6,1878.9,1841.2,276170,0.0049
2021-02-01,1863.9,1865,1876,1851.7,242050,0.0074
2021-02-02,1833.4,1863.6,1866.3,1830.4,236000,-0.0164
2021-02-03,1835.1,1838.5,1845.9,1830.1,137230,0.0009
2021-02-04,1791.2,1834.5,1835.7,1784.6,279620,-0.0239
2021-02-05,1813,1794.3,1816,1792.2,205760,0.0122
2021-02-08,1834.2,1818.1,1840.6,1807.3,177560,0.0117
2021-02-09,1837.5,1832.4,1849.5,1830.3,154390,0.0018
2021-02-10,1842.7,1838.3,1856.6,1834,176440,0.0028
2021-02-11,1826.8,1844.3,1848.6,1821.7,147020,-0.0086
2021-02-12,1823.2,1825.4,1831.5,1810.1,171900,-0.002
2021-02-15,1799,1826,1827.1,1788.1,355920,-0.0133
2021-02-17,1772.8,1793.1,1794.2,1767.9,257340,-0.0146
2021-02-18,1775,1776,1788.8,1766.6,224770,0.0012
2021-02-19,1777.4,1774.6,1790.9,1759,251780,0.0014
2021-02-22,1808.4,1782,1812.4,1778.6,221200,0.0174
2021-02-23,1805.9,1809.3,1815.2,1794.5,191150,-0.0014
2021-02-24,1797.9,1805,1813,1782.2,224060,-0.0044
2021-02-25,1775.4,1804.9,1805,1763.9,316250,-0.0125
2021-02-26,1728.8,1770.9,1773.8,1714.9,362550,-0.0262
2021-03-01,1723,1732.8,1757.4,1717.2,241920,-0.0034
