date,PM10,PM2.5
2018-01-01,33,18
2018-01-02,32,20
2018-01-03,30,18
2018-01-04,39,24
2018-01-05,48,33
2018-01-06,39,26
2018-01-07,47,35
2018-01-08,52,39
2018-01-09,37,18
2018-01-10,28,12
2018-01-11,29,22
2018-01-12,20,14
2018-01-13,55,41
2018-01-14,67,54
2018-01-15,64,47
2018-01-16,99,76
2018-01-17,96,77
2018-01-18,77,55
2018-01-19,49,26
2018-01-20,86,57
2018-01-21,53,34
2018-01-22,40,25
2018-01-23,20,11
2018-01-24,25,10
2018-01-25,21,12
2018-01-26,29,18
2018-01-27,39,26
2018-01-28,26,18
2018-01-29,37,16
2018-01-30,35,20
2018-01-31,35,20
2018-02-01,34,22
2018-02-02,46,32
2018-02-03,32,19
2018-02-04,28,21
2018-02-05,23,15
2018-02-06,26,19
2018-02-07,34,24
2018-02-08,45,33
2018-02-09,63,48
2018-02-10,63,39
2018-02-11,43,14
2018-02-12,39,13
2018-02-13,41,15
2018-02-14,58,28
2018-02-15,31,14
2018-02-16,37,21
2018-02-17,39,10
2018-02-18,30,16
2018-02-19,51,35
2018-02-20,55,37
2018-02-21,31,18
2018-02-22,38,26
2018-02-23,79,60
2018-02-24,67,49
2018-02-25,36,26
2018-02-26,56,39
2018-02-27,82,57
2018-02-28,63,44
2018-03-01,35,26
2018-03-02,57,24
2018-03-03,49,26
2018-03-04,25,18
2018-03-05,8,5
2018-03-06,25,15
2018-03-07,25,16
2018-03-08,27,23
2018-03-09,41,31
2018-03-10,40,29
2018-03-11,50,35
2018-03-12,76,53
2018-03-13,55,34
2018-03-14,20,11
2018-03-15,20,12
2018-03-16,13,7
2018-03-17,28,18
2018-03-18,54,41
2018-03-19,30,23
2018-03-20,17,8
2018-03-21,13,7
2018-03-22,36,24
2018-03-23,60,44
2018-03-24,101,74
2018-03-25,115,86
2018-03-26,102,64
2018-03-27,81,51
2018-03-28,48,31
2018-03-29,51,34
2018-03-30,55,33
2018-03-31,46,25
2018-04-01,59,28
2018-04-02,57,22
2018-04-03,55,16
2018-04-04,12,6
2018-04-05,8,5
2018-04-06,89,19
2018-04-07,39,19
2018-04-08,26,12
2018-04-09,36,24
2018-04-10,37,18
2018-04-11,48,18
2018-04-12,37,13
2018-04-13,29,13
2018-04-14,18,11
2018-04-15,56,18
2018-04-16,30,19
2018-04-17,47,25
2018-04-18,55,27
2018-04-19,66,35
2018-04-20,86,47
2018-04-21,62,36
2018-04-22,33,18
2018-04-23,9,6
2018-04-24,8,5
2018-04-25,29,21
2018-04-26,37,27
2018-04-27,51,36
2018-04-28,56,36
2018-04-29,48,29
2018-04-30,74,50
2018-05-01,56,39
2018-05-02,42,32
2018-05-03,24,13
2018-05-04,35,15
2018-05-05,36,17
2018-05-06,14,9
2018-05-07,30,17
2018-05-08,15,7
2018-05-09,18,7
2018-05-10,36,20
2018-05-11,52,34
2018-05-12,29,20
2018-05-13,21,15
2018-05-14,68,53
2018-05-15,66,48
2018-05-16,38,26
2018-05-17,14,10
2018-05-18,16,6
2018-05-19,11,5
2018-05-20,11,6
2018-05-21,18,10
2018-05-22,38,21
2018-05-23,40,9
2018-05-24,81,22
2018-05-25,79,30
2018-05-26,74,32
2018-05-27,56,23
2018-05-28,44,22
2018-05-29,38,23
2018-05-30,43,26
2018-05-31,36,21
2018-06-01,34,20
2018-06-02,39,22
2018-06-03,29,19
2018-06-04,38,24
2018-06-05,38,26
2018-06-06,42,29
2018-06-07,42,27
2018-06-08,29,19
2018-06-09,35,22
2018-06-10,9,5
2018-06-11,11,5
2018-06-12,13,7
2018-06-13,24,16
2018-06-14,30,19
2018-06-15,15,8
2018-06-16,22,10
2018-06-17,46,30
2018-06-18,40,26
2018-06-19,34,23
2018-06-20,38,27
2018-06-21,34,22
2018-06-22,37,24
2018-06-23,35,21
2018-06-24,62,37
2018-06-25,57,33
2018-06-26,56,36
2018-06-27,26,18
2018-06-28,24,15
2018-06-29,36,24
2018-06-30,60,41
2018-07-01,12,8
2018-07-02,12,7
2018-07-03,14,8
2018-07-04,20,11
2018-07-05,20,14
2018-07-06,6,3
2018-07-07,8,3
2018-07-08,11,6
2018-07-09,9,5
2018-07-10,24,13
2018-07-11,37,20
2018-07-12,31,16
2018-07-13,22,14
2018-07-14,20,13
2018-07-15,23,16
2018-07-16,23,16
2018-07-17,28,21
2018-07-18,33,26
2018-07-19,26,19
2018-07-20,34,23
2018-07-21,34,23
